instance,goals_visited,goals_total,percent,length,valid,runtime_s
instance_001,4,8,50.0,1447.59,True,0.0000
instance_002,4,8,50.0,1900.83,True,0.0000
instance_003,4,5,80.0,1593.24,True,0.0000
instance_004,4,8,50.0,1657.66,True,0.0000
instance_005,3,4,75.0,1148.23,True,0.0000
instance_006,3,3,100.0,1293.62,True,0.0000
instance_007,5,8,62.5,1980.00,True,0.0000
instance_008,3,5,60.0,1792.37,True,0.0000
instance_009,3,4,75.0,1449.61,True,0.0000
instance_010,5,7,71.42857142857143,1848.21,True,0.0000
instance_011,7,16,43.75,1867.01,True,0.0100
instance_012,5,17,29.411764705882355,1565.77,True,0.0008
instance_013,5,17,29.411764705882355,1894.76,True,0.0000
instance_014,8,17,47.05882352941176,1955.34,True,0.0040
instance_015,7,11,63.63636363636363,1922.36,True,0.0050
instance_016,7,12,58.333333333333336,1906.01,True,0.0000
instance_017,9,19,47.368421052631575,1713.70,True,0.0114
instance_018,6,11,54.54545454545454,1575.49,True,0.0047
instance_019,5,12,41.66666666666667,1677.77,True,0.0011
instance_020,6,16,37.5,1717.33,True,0.0020
instance_021,8,15,53.333333333333336,1976.96,True,0.0102
instance_022,4,10,40.0,1426.04,True,0.0000
instance_023,4,12,33.33333333333333,1605.58,True,0.0000
instance_024,7,18,38.88888888888889,1825.43,True,0.0089
instance_025,9,14,64.28571428571429,1896.90,True,0.0069
instance_026,10,26,38.46153846153847,1920.16,True,0.0375
instance_027,11,29,37.93103448275862,1982.57,True,0.0333
instance_028,9,22,40.909090909090914,1914.04,True,0.0093
instance_029,9,21,42.857142857142854,1839.86,True,0.0222
instance_030,11,34,32.35294117647059,1894.77,True,0.0354
instance_031,13,22,59.09090909090909,1990.34,True,0.0414
instance_032,9,25,36.0,1906.34,True,0.0100
instance_033,11,34,32.35294117647059,1911.44,True,0.0477
instance_034,9,30,30.0,1936.30,True,0.0104
instance_035,10,30,33.33333333333333,1741.87,True,0.0228
instance_036,8,8,100.0,1786.15,True,0.0055
instance_037,11,11,100.0,1866.10,True,0.0000
instance_038,12,18,66.66666666666666,1460.67,True,0.0106
instance_039,5,11,45.45454545454545,1128.58,True,0.0089
instance_040,8,15,53.333333333333336,1888.49,True,0.0000
instance_041,7,7,100.0,1653.33,True,0.0011
instance_042,8,14,57.14285714285714,1904.13,True,0.0040
instance_043,9,12,75.0,1987.49,True,0.0000
instance_044,11,28,39.285714285714285,1958.53,True,0.0090
instance_045,10,19,52.63157894736842,1840.41,True,0.0054
instance_046,12,27,44.44444444444444,1944.83,True,0.0227
instance_047,11,20,55.00000000000001,1999.63,True,0.0090
instance_048,8,24,33.33333333333333,1700.45,True,0.0049
instance_049,10,26,38.46153846153847,1929.17,True,0.0140
instance_050,6,14,42.857142857142854,1880.45,True,0.0017
instance_051,9,14,64.28571428571429,1946.24,True,0.0052
instance_052,8,13,61.53846153846154,1889.77,True,0.0000
instance_053,16,18,88.88888888888889,1961.16,True,0.0390
instance_054,11,19,57.89473684210527,1920.71,True,0.0047
instance_055,13,14,92.85714285714286,1972.98,True,0.0080
instance_056,12,14,85.71428571428571,1968.03,True,0.0062
instance_057,10,10,100.0,1996.40,True,0.0000
instance_058,14,36,38.88888888888889,1926.33,True,0.0593
instance_059,10,36,27.77777777777778,1901.93,True,0.0203
instance_060,12,16,75.0,1894.69,True,0.0120
instance_061,10,25,40.0,1919.39,True,0.0154
instance_062,9,25,36.0,1943.18,True,0.0071
instance_063,6,36,16.666666666666664,1970.70,True,0.0000
instance_064,2,6,33.33333333333333,1508.10,True,0.0000
instance_065,2,5,40.0,1610.51,True,0.0000
instance_066,2,5,40.0,1507.44,True,0.0000
instance_067,3,10,30.0,1964.74,True,0.0000
instance_068,3,8,37.5,1921.17,True,0.0000
instance_069,13,24,54.166666666666664,1918.53,True,0.0244
instance_070,11,22,50.0,1978.83,True,0.0059
instance_071,15,21,71.42857142857143,1978.83,True,0.0241
instance_072,4,15,26.666666666666668,1966.78,True,0.0000
instance_073,19,21,90.47619047619048,1939.00,True,0.0509
instance_074,1,25,4.0,1986.57,True,0.0000
instance_075,4,7,57.14285714285714,1800.62,True,0.0000
instance_076,7,9,77.77777777777779,1979.54,True,0.0000
instance_077,4,9,44.44444444444444,1660.26,True,0.0000
instance_078,4,8,50.0,1824.40,True,0.0000
instance_079,4,8,50.0,1936.23,True,0.0000
instance_080,6,10,60.0,1836.13,True,0.0026
instance_081,5,12,41.66666666666667,1626.88,True,0.0010
instance_082,4,6,66.66666666666666,1921.54,True,0.0000
instance_083,1,7,14.285714285714285,1918.79,True,0.0000
instance_084,7,7,100.0,1993.10,True,0.0000
instance_085,9,11,81.81818181818183,1982.19,True,0.0084
instance_086,7,11,63.63636363636363,1981.92,True,0.0000
instance_087,0,12,0.0,357.61,True,0.0000
instance_088,4,14,28.57142857142857,1797.91,True,0.0000
instance_089,4,10,40.0,1858.57,True,0.0036
instance_090,9,12,75.0,1890.34,True,0.0000
instance_091,8,12,66.66666666666666,1954.31,True,0.0000
instance_092,3,11,27.27272727272727,1966.17,True,0.0081
instance_093,11,18,61.111111111111114,1882.69,True,0.0079
instance_094,7,13,53.84615384615385,1948.27,True,0.0036
instance_095,10,13,76.92307692307693,1964.31,True,0.0055
instance_096,11,14,78.57142857142857,1946.27,True,0.0115
instance_097,7,7,100.0,1359.78,True,0.0000
instance_098,4,6,66.66666666666666,455.38,True,0.0000
instance_099,0,9,0.0,1796.05,True,0.0000
instance_100,0,8,0.0,1895.05,True,0.0000
